written report . ||| kursen examineras i form av en skriftlig rapport
conducting regular project meetings with supervisor , including reflection meetings and close-out meeting ; ||| delta i regelbundna teammöten med gruppens handledare , inklusive reflektionsmöten vid halvtid och projektavslut ;
orally presenting the planning , half-time , and final reports ; ||| muntligt presentera planeringsarbetet , halvtidsrapporterna och slutrapporterna ;
and delivering an approved end product . ||| samt leverera en godkänd produkt .
in addition , each student has to maintain a personal logbook . ||| dessutom måste varje student kontinuerligt föra personlig loggbok .
each team project is assessed according to the two main deliverables : a final academic report ( 40 % ) , and the product , including product documentation ( 30 % ) ; and on the team process ( 30 % ) . ||| varje grupp examineras på två huvudsakliga slutleveranser : en slutlig akademisk rapport ( 40 % ) , och produkten , inklusive produktspecifikation ( 30 % ) ; samt på processen under projektets gång ( 30 % ) .
the team process is assessed using team and individual logbooks , agile process documentation , supervisor contacts , etc. . ||| processen examineras utgående från gruppens gemensamma och individuella loggböcker , dokumentation av den agila processen , handledarkontakter , etc.
the result of this combined assessment is a team base grade . ||| resultatet av denna sammanlagda bedömning är gruppens basbetyg .
an individual grade is awarded to each student , based on the contribution to the the team's result ( all three parts ) . ||| ett individuellt betyg sätts sedan för varje student , baserat på studentens bidrag till gruppens gemensamma resultat ( alla tre delarna ) .
the individual grade may be higher or lower than the team base grade . ||| det individuella betyget kan vara högre eller lägre än gruppens basbetyg .
apply her/his technical expertise to a multi-person project where an electronic product ( fpga / asic ) is specified , designed , implemented , and verified . ||| tillämpa sin tekniska expertis i ett flerpersonsprojekt i vilket en elektronisk produkt ( fpga / asic ) specificeras , designas , implementeras och verifieras .
proficiently use modern eda tools for fpgas / asics . ||| sakkunnigt använda moderna eda-verktyg för fpga / asic .
contribute , in several team roles , to a multi-person project where an industry-like agile project model is used . ||| bidra , i flera roller , till ett flerpersonsprojekt i vilket en agil projektmodell av industriell typ används .
this includes planning , follow-up and trade offs under resource constraints . ||| detta inkluderar att planera , följa upp samt göra avvägningar under resursbegränsning .
reflect on the group process in a team . ||| reflektera över sin grupps grupprocess , i relation till teori för grupputveckling .
write an academic report , with several authors , describing a product-development project , with correct handling of references . ||| skriva en akademisk rapport , med flera författare , vars ämne är ett produktutvecklingsprojekt , med korrekt källhantering .
document an electronic product technically , including testing and verification documentation . ||| dokumentera en elektronisk produkt tekniskt , inklusive dokumentation av test och verifiering .
design a presentation , with time constraints , and deliver it . ||| designa en muntlig presentation och framföra den under tidsbegränsning .
the course consists of a major project assignment . ||| kursen består av ett större designprojekt .
the project work is done in teams where a number of students work together . ||| projektarbetet görs i team där ett antal studenter arbetar tillsammans .
the project target technologies are fpga , but also digital and analog asic . ||| målteknologierna är fpga men också digital och analog asic .
